rod_id	position	measurement_index	point_index	value
Rod2	endN1	19	0	0.00068
Rod2	endN1	19	1	0.00216
Rod2	endN1	19	2	0.00414
Rod2	endN1	19	3	0.00562
Rod2	endN1	19	4	0.00759
Rod2	endN1	19	5	0.01055
Rod2	endN1	19	6	0.01203
Rod2	endN1	19	7	0.01367
Rod2	endN1	19	8	0.01548
Rod2	endN1	19	9	0.01696
Rod2	endN1	19	10	0.0186
Rod2	endN1	19	11	0.02041
Rod2	endN1	19	12	0.02189
Rod2	endN1	19	13	0.02353
Rod2	endN1	19	14	0.02534
Rod2	endN1	19	15	0.02682
Rod2	endN1	20	0	0.00068
Rod2	endN1	20	1	0.00233
Rod2	endN1	20	2	0.0043
Rod2	endN1	20	3	0.00578
Rod2	endN1	20	4	0.00726
Rod2	endN1	20	5	0.01038
Rod2	endN1	20	6	0.01236
Rod2	endN1	20	7	0.014
Rod2	endN1	20	8	0.01564
Rod2	endN1	20	9	0.01679
Rod2	endN1	20	10	0.01844
Rod2	endN1	20	11	0.02041
Rod2	endN1	20	12	0.02205
Rod2	endN1	20	13	0.02353
Rod2	endN1	20	14	0.02534
Rod2	endN1	20	15	0.02666
Rod2	endN1	21	0	0.00052
Rod2	endN1	21	1	0.00249
Rod2	endN1	21	2	0.0043
Rod2	endN1	21	3	0.00578
Rod2	endN1	21	4	0.00726
Rod2	endN1	21	5	0.01055
Rod2	endN1	21	6	0.01219
Rod2	endN1	21	7	0.01384
Rod2	endN1	21	8	0.01564
Rod2	endN1	21	9	0.01679
Rod2	endN1	21	10	0.01877
Rod2	endN1	21	11	0.02057
Rod2	endN1	21	12	0.02205
Rod2	endN1	21	13	0.02337
Rod2	endN1	21	14	0.02518
Rod2	endN1	21	15	0.02649
Rod2	endN1	22	0	0.00052
Rod2	endN1	22	1	0.00216
Rod2	endN1	22	2	0.0043
Rod2	endN1	22	3	0.00562
Rod2	endN1	22	4	0.00742
Rod2	endN1	22	5	0.01055
Rod2	endN1	22	6	0.01219
Rod2	endN1	22	7	0.01367
Rod2	endN1	22	8	0.01548
Rod2	endN1	22	9	0.01712
Rod2	endN1	22	10	0.0186
Rod2	endN1	22	11	0.02041
Rod2	endN1	22	12	0.02189
Rod2	endN1	22	13	0.02337
Rod2	endN1	22	14	0.02518
Rod2	endN1	22	15	0.02666
Rod2	endN1	23	0	0.00068
Rod2	endN1	23	1	0.00216
Rod2	endN1	23	2	0.00414
Rod2	endN1	23	3	0.00578
Rod2	endN1	23	4	0.00742
Rod2	endN1	23	5	0.01038
Rod2	endN1	23	6	0.01236
Rod2	endN1	23	7	0.01384
Rod2	endN1	23	8	0.01531
Rod2	endN1	23	9	0.01696
Rod2	endN1	23	10	0.01877
Rod2	endN1	23	11	0.02025
Rod2	endN1	23	12	0.02189
Rod2	endN1	23	13	0.02353
Rod2	endN1	23	14	0.02534
Rod2	endN1	23	15	0.02666
Rod2	endN1	24	0	0.00068
Rod2	endN1	24	1	0.00249
Rod2	endN1	24	2	0.00414
Rod2	endN1	24	3	0.00562
Rod2	endN1	24	4	0.00742
Rod2	endN1	24	5	0.01055
Rod2	endN1	24	6	0.01219
Rod2	endN1	24	7	0.01384
Rod2	endN1	24	8	0.01515
Rod2	endN1	24	9	0.01696
Rod2	endN1	24	10	0.0186
Rod2	endN1	24	11	0.02025
Rod2	endN1	24	12	0.02205
Rod2	endN1	24	13	0.02353
Rod2	endN1	24	14	0.02534
Rod2	endN1	24	15	0.02682
Rod2	endN1	25	0	0.00052
Rod2	endN1	25	1	0.00249
Rod2	endN1	25	2	0.00397
Rod2	endN1	25	3	0.00594
Rod2	endN1	25	4	0.00726
Rod2	endN1	25	5	0.01055
Rod2	endN1	25	6	0.01203
Rod2	endN1	25	7	0.01367
Rod2	endN1	25	8	0.01548
Rod2	endN1	25	9	0.01712
Rod2	endN1	25	10	0.01844
Rod2	endN1	25	11	0.02057
Rod2	endN1	25	12	0.02189
Rod2	endN1	25	13	0.02353
Rod2	endN1	25	14	0.02534
Rod2	endN1	25	15	0.02649
Rod2	endN1	26	0	0.00068
Rod2	endN1	26	1	0.00233
Rod2	endN1	26	2	0.00414
Rod2	endN1	26	3	0.00578
Rod2	endN1	26	4	0.00742
Rod2	endN1	26	5	0.01038
Rod2	endN1	26	6	0.01203
Rod2	endN1	26	7	0.01367
Rod2	endN1	26	8	0.01548
Rod2	endN1	26	9	0.01712
Rod2	endN1	26	10	0.0186
Rod2	endN1	26	11	0.02041
Rod2	endN1	26	12	0.02189
Rod2	endN1	26	13	0.02353
Rod2	endN1	26	14	0.02518
Rod2	endN1	26	15	0.02666
Rod2	endN1	27	0	0.00068
Rod2	endN1	27	1	0.00249
Rod2	endN1	27	2	0.0043
Rod2	endN1	27	3	0.00594
Rod2	endN1	27	4	0.00726
Rod2	endN1	27	5	0.01071
Rod2	endN1	27	6	0.01203
Rod2	endN1	27	7	0.01384
Rod2	endN1	27	8	0.01531
Rod2	endN1	27	9	0.01679
Rod2	endN1	27	10	0.01877
Rod2	endN1	27	11	0.02025
Rod2	endN1	27	12	0.02189
Rod2	endN1	27	13	0.02337
Rod2	endN1	27	14	0.02518
Rod2	endN1	27	15	0.02666
Rod2	endN1	28	0	0.00085
Rod2	endN1	28	1	0.00249
Rod2	endN1	28	2	0.0043
Rod2	endN1	28	3	0.00578
Rod2	endN1	28	4	0.00742
Rod2	endN1	28	5	0.01038
Rod2	endN1	28	6	0.01203
Rod2	endN1	28	7	0.01367
Rod2	endN1	28	8	0.01564
Rod2	endN1	28	9	0.01712
Rod2	endN1	28	10	0.01844
Rod2	endN1	28	11	0.02041
Rod2	endN1	28	12	0.02189
Rod2	endN1	28	13	0.02353
Rod2	endN1	28	14	0.02501
Rod2	endN1	28	15	0.02682
Rod2	endN1	29	0	0.00068
Rod2	endN1	29	1	0.00233
Rod2	endN1	29	2	0.00414
Rod2	endN1	29	3	0.00594
Rod2	endN1	29	4	0.00759
Rod2	endN1	29	5	0.01055
Rod2	endN1	29	6	0.01236
Rod2	endN1	29	7	0.01367
Rod2	endN1	29	8	0.01531
Rod2	endN1	29	9	0.01696
Rod2	endN1	29	10	0.0186
Rod2	endN1	29	11	0.02041
Rod2	endN1	29	12	0.02189
Rod2	endN1	29	13	0.02353
Rod2	endN1	29	14	0.02501
Rod2	endN1	29	15	0.02666
Rod2	endN1	30	0	0.00052
Rod2	endN1	30	1	0.00249
Rod2	endN1	30	2	0.00414
Rod2	endN1	30	3	0.00562
Rod2	endN1	30	4	0.00742
