rod_id,position,angle,measurement_index,point_index,value
Rod3,endN3,0,15,2,-0.00112
Rod3,endN3,0,15,3,-0.00047
Rod3,endN3,0,15,4,-0.00047
Rod3,endN3,0,15,5,0.00019
Rod3,endN3,0,15,6,0.00085
Rod3,endN3,0,15,7,0.00118
Rod3,endN3,0,15,8,0.00151
Rod3,endN3,0,15,9,0.00151
Rod3,endN3,0,15,10,0.00167
Rod3,endN3,0,15,11,0.00233
Rod3,endN3,0,15,12,0.00266
Rod3,endN3,0,15,13,0.00315
Rod3,endN3,0,15,14,0.00331
Rod3,endN3,0,15,15,0.00397
Rod3,endN3,0,15,16,0.00397
Rod3,endN3,0,15,17,0.00463
Rod3,endN3,0,15,18,0.00496
Rod3,endN3,0,15,19,0.00512
Rod3,endN3,0,15,20,0.0071
Rod3,endN3,0,15,21,0.00907
Rod3,endN3,0,15,22,0.01055
Rod3,endN3,0,15,23,0.01252
Rod3,endN3,0,15,24,0.01433
Rod3,endN3,0,15,25,0.01597
Rod3,endN3,0,15,26,0.01762
Rod3,endN3,0,15,27,0.01942
Rod3,endN3,0,15,28,0.0214
Rod3,endN3,0,15,29,0.02304
Rod3,endN3,0,15,30,0.02468
Rod3,endN3,0,15,31,0.02649
Rod3,endN3,0,16,0,-0.00145
Rod3,endN3,0,16,1,-0.00129
Rod3,endN3,0,16,2,-0.00079
Rod3,endN3,0,16,3,-0.00063
Rod3,endN3,0,16,4,-0.0003
Rod3,endN3,0,16,5,0.00019
Rod3,endN3,0,16,6,0.00052
Rod3,endN3,0,16,7,0.00085
Rod3,endN3,0,16,8,0.00118
Rod3,endN3,0,16,9,0.00151
Rod3,endN3,0,16,10,0.00184
Rod3,endN3,0,16,11,0.00233
Rod3,endN3,0,16,12,0.00266
Rod3,endN3,0,16,13,0.00299
Rod3,endN3,0,16,14,0.00331
Rod3,endN3,0,16,15,0.00348
Rod3,endN3,0,16,16,0.00397
Rod3,endN3,0,16,17,0.00479
Rod3,endN3,0,16,18,0.00496
Rod3,endN3,0,16,19,0.00529
Rod3,endN3,0,16,20,0.00726
Rod3,endN3,0,16,21,0.00923
Rod3,endN3,0,16,22,0.01055
Rod3,endN3,0,16,23,0.01268
Rod3,endN3,0,16,24,0.01433
Rod3,endN3,0,16,25,0.01564
Rod3,endN3,0,16,26,0.01745
Rod3,endN3,0,16,27,0.01959
Rod3,endN3,0,16,28,0.0214
Rod3,endN3,0,16,29,0.02304
Rod3,endN3,0,16,30,0.02485
Rod3,endN3,0,16,31,0.02682
Rod3,endN3,0,17,0,-0.00129
Rod3,endN3,0,17,1,-0.00112
Rod3,endN3,0,17,2,-0.00079
Rod3,endN3,0,17,3,-0.00047
Rod3,endN3,0,17,4,-0.0003
Rod3,endN3,0,17,5,0.00019
Rod3,endN3,0,17,6,0.00052
Rod3,endN3,0,17,7,0.00085
Rod3,endN3,0,17,8,0.00118
Rod3,endN3,0,17,9,0.00184
Rod3,endN3,0,17,10,0.002
Rod3,endN3,0,17,11,0.00249
Rod3,endN3,0,17,12,0.00282
Rod3,endN3,0,17,13,0.00315
Rod3,endN3,0,17,14,0.00331
Rod3,endN3,0,17,15,0.00381
Rod3,endN3,0,17,16,0.0043
Rod3,endN3,0,17,17,0.00463
Rod3,endN3,0,17,18,0.00512
Rod3,endN3,0,17,19,0.00545
Rod3,endN3,0,17,20,0.0071
Rod3,endN3,0,17,21,0.00907
Rod3,endN3,0,17,22,0.01055
Rod3,endN3,0,17,23,0.01252
Rod3,endN3,0,17,24,0.01433
Rod3,endN3,0,17,25,0.01581
Rod3,endN3,0,17,26,0.01762
Rod3,endN3,0,17,27,0.01959
Rod3,endN3,0,17,28,0.0214
Rod3,endN3,0,17,29,0.0232
Rod3,endN3,0,17,30,0.02485
Rod3,endN3,0,17,31,0.02649
Rod3,endN3,0,18,0,-0.00129
Rod3,endN3,0,18,1,-0.00112
Rod3,endN3,0,18,2,-0.00063
Rod3,endN3,0,18,3,-0.00047
Rod3,endN3,0,18,4,-0.00014
Rod3,endN3,0,18,5,0.00036
Rod3,endN3,0,18,6,0.00085
Rod3,endN3,0,18,7,0.00101
Rod3,endN3,0,18,8,0.00134
Rod3,endN3,0,18,9,0.00167
Rod3,endN3,0,18,10,0.002
Rod3,endN3,0,18,11,0.00233
Rod3,endN3,0,18,12,0.00266
Rod3,endN3,0,18,13,0.00331
Rod3,endN3,0,18,14,0.00348
Rod3,endN3,0,18,15,0.00364
Rod3,endN3,0,18,16,0.0043
Rod3,endN3,0,18,17,0.00447
Rod3,endN3,0,18,18,0.00512
Rod3,endN3,0,18,19,0.00512
Rod3,endN3,0,18,20,0.00693
Rod3,endN3,0,18,21,0.00923
Rod3,endN3,0,18,22,0.01055
Rod3,endN3,0,18,23,0.01268
Rod3,endN3,0,18,24,0.01449
Rod3,endN3,0,18,25,0.01597
Rod3,endN3,0,18,26,0.01762
Rod3,endN3,0,18,27,0.01959
Rod3,endN3,0,18,28,0.02123
Rod3,endN3,0,18,29,0.0232
Rod3,endN3,0,18,30,0.02485
Rod3,endN3,0,18,31,0.02666
Rod3,endN3,0,19,0,-0.00129
Rod3,endN3,0,19,1,-0.00112
Rod3,endN3,0,19,2,-0.00096
Rod3,endN3,0,19,3,-0.00047
Rod3,endN3,0,19,4,-0.00014
Rod3,endN3,0,19,5,0.00036
Rod3,endN3,0,19,6,0.00068
Rod3,endN3,0,19,7,0.00068
Rod3,endN3,0,19,8,0.00134
Rod3,endN3,0,19,9,0.00184
Rod3,endN3,0,19,10,0.002
Rod3,endN3,0,19,11,0.00249
Rod3,endN3,0,19,12,0.00266
Rod3,endN3,0,19,13,0.00315
Rod3,endN3,0,19,14,0.00315
Rod3,endN3,0,19,15,0.00397
Rod3,endN3,0,19,16,0.0043
Rod3,endN3,0,19,17,0.00447
